,,informatics задачи - ссылка,informatics задачи - название,e-maxx-теория ссылки,e-maxx теория - название,,фоксфорд теория - ссылка,фоксфорд теория - заголовок,фоксфорд видео - ссылка,фоксфорд видео - заголовок,,ЛКШ видео - ссылка,ЛКШ видео заголовок,,,unique id,color,habr - ссылка,habr - заголовок
0,1,2,3,4,5,6,7,8,9,10,11,12,13,,15,16,17,18,19
1,Регулярные выражения,,,,,,,,,,,,,12,13,1,str,http://habrahabr.ru/post/115825/,
2,Разбор выражений,,,http://e-maxx.ru/algo/expressions_parsing,,,http://foxford.ru/wiki/informatika/obratnaya-polskaya-notatsiya,,http://foxford.ru/wiki/informatika/obratnaya-polskaya-notatsiya,,,,,12,14,2,str,,
3,Система независимых множеств,http://informatics.mccme.ru/py-source/source/dir/240-428,,http://e-maxx.ru/algo/mst_kruskal_with_dsu,Алгоритм Краскала с СНМ,,,,,,,,,12,15,3,data,http://habrahabr.ru/post/104772/,
4,Сортировка кучей,http://informatics.mccme.ru/py-source/source/dir/240-350,Куча,,,,,,,,,,,12,16,4,data,http://habrahabr.ru/post/112222/,
5,Очередь с приоритетами,http://informatics.mccme.ru/py-source/source/dir/240-350,Куча,,,,,,,,,,,12,17,5,data,,
6,ДО с изменением элемента,http://informatics.mccme.ru/py-source/source/dir/240-420,"Дерево отрезков, RMQ, RSQ",http://e-maxx.ru/algo/segment_tree,Дерево отрезков,,,,,,,,,12,18,6,data,http://habrahabr.ru/post/115026/,
7,ДО с изменением на интервале,http://informatics.mccme.ru/py-source/source/dir/240-420,"Дерево отрезков, RMQ, RSQ",http://e-maxx.ru/algo/segment_tree,Дерево отрезков,,,,,,,,,12,19,7,data,,
8,Дерево поиска,http://informatics.mccme.ru/py-source/source/dir/240-419,,,,,,,,,,,,12,20,8,data,http://habrahabr.ru/post/145388/,Рандомизированное дерево поиска
9,ДП по изломанному профилю,http://informatics.mccme.ru/py-source/source/dir/240-426,ДП по профилю,,,,,,,,,,,13,13,9,dp,http://habrahabr.ru/post/191498/,Динамическое программирование
10,ДП по профилю,http://informatics.mccme.ru/py-source/source/dir/240-426,,http://e-maxx.ru/algo/profile_dynamics,,,,,,,,,,13,14,10,dp,http://habrahabr.ru/post/191498/,Динамическое программирование
11,Конечные автоматы,,,,,,,,,,,,,13,15,11,str,http://habrahabr.ru/post/141503/,
12,Поиск подстроки в строке,http://informatics.mccme.ru/py-source/source/dir/240-434,,,,,,,,,,,,13,16,12,str,http://habrahabr.ru/post/113266/,
13,Куча,http://informatics.mccme.ru/py-source/source/dir/240-350,,http://e-maxx.ru/algo/randomized_heap,Рандомизированная куча,,http://foxford.ru/wiki/informatika/kucha-heap,,http://foxford.ru/wiki/informatika/kucha-heap,,,,,13,17,13,data,http://habrahabr.ru/post/112222/,
14,Дерево отрезков,http://informatics.mccme.ru/py-source/source/dir/240-420,,http://e-maxx.ru/algo/segment_tree,,,,,,,,,,13,18,14,data,http://habrahabr.ru/post/115026/,
15,Остатки,http://informatics.mccme.ru/py-source/source/dir/240-433,,,,,,,,,,http://sis.khashaev.ru/2013/august/c-prime/BIwzyPBgU6Y/,,13,19,15,nums,,
16,Быстрое преобразование Фурье,http://informatics.mccme.ru/py-source/source/dir/240-16152,,http://e-maxx.ru/algo/fft_multiply,,,,,,,,,,13,20,16,nums,http://habrahabr.ru/post/113642/,Умножение многочленов
17,Уравнение прямой,http://informatics.mccme.ru/py-source/source/dir/240-406,Элементарная геометрия,http://e-maxx.ru/algo/segment_to_line,,,,,,,,,,14,10,17,eq,,
18,Решение систем линейных уравнений,,,http://e-maxx.ru/algo/linear_systems_gauss,Метод Гаусса,,,,,,,,,14,11,18,eq,,
19,"Решение линейных, квадратных уравнений",,,,,,,,,,,,,14,12,19,eq,,
20,ДП на деревьях,http://informatics.mccme.ru/py-source/source/dir/240-425,ДП на графах,,,,,,,,,,,14,13,20,dp,http://habrahabr.ru/post/191498/,Динамическое программирование
21,ДП по подмножествам,http://informatics.mccme.ru/py-source/source/dir/240-447,,,,,,,,,,,,14,14,21,dp,http://habrahabr.ru/post/191498/,Динамическое программирование
22,ДП по подотрезкам,http://informatics.mccme.ru/py-source/source/dir/240-400,,,,,,,,,,,,14,15,22,dp,http://habrahabr.ru/post/112386/,
23,Связный список,http://informatics.mccme.ru/py-source/source/dir/240-439,,,,,,,,,,,,14,16,23,data,http://habrahabr.ru/post/247053/,Сортировка на односвязном списке
24,Дек,http://informatics.mccme.ru/py-source/source/dir/240-363,,,,,,,,,,http://sis.khashaev.ru/2013/august/c-prime/DgGSq4IKOA4/,collections.deque в Python,14,17,24,data,http://habrahabr.ru/post/200560/,BFS 0-1
25,Системы счисления,http://informatics.mccme.ru/py-source/source/dir/240-357,,,,,http://foxford.ru/wiki/informatika/operatsii-v-pozitsionnyh-sistemah-schisleniya,Операции в позиционных системах счисления,,,,,,14,18,25,nums,http://habrahabr.ru/post/124395/,
26,"Длинная ""арифметика""",http://informatics.mccme.ru/py-source/source/dir/240-383,,,,,,,,,,,,14,19,26,nums,http://habrahabr.ru/post/172285/,Реализация на С++
27,Быстрое возведение в степень,http://informatics.mccme.ru/py-source/source/dir/240-455,,http://e-maxx.ru/algo/binary_pow,,,,,,,,,,14,20,27,nums,http://habrahabr.ru/post/205318/,
28,Поиск следующего комбинаторного объекта,http://informatics.mccme.ru/py-source/source/dir/240-367,Комбинаторные структуры,,,,,,,,,,,14,21,28,comb,,
29,Поиск КО по номеру и номера по объекту,http://informatics.mccme.ru/py-source/source/dir/240-453,,,,,,,,,,,,14,22,29,comb,,
30,Алгоритм Грехэма,http://informatics.mccme.ru/py-source/source/dir/240-406,Элементарная геометрия,http://e-maxx.ru/algo/convex_hull_graham,,,,,,,,,,14,9,30,geom,http://habrahabr.ru/post/144921/,
31,Выпуклая оболочка,http://informatics.mccme.ru/py-source/source/dir/240-406,,,,,,,,,,,,15,10,31,geom,http://habrahabr.ru/post/144921/,
32,Многоугольники. Площадь многоугольников,http://informatics.mccme.ru/py-source/source/dir/240-406,Элементарная геометрия,http://e-maxx.ru/algo/polygon_area,,,,,,,,,,15,11,32,geom,,
33,Векторное произведение. Площадь треугольника,http://informatics.mccme.ru/py-source/source/dir/240-406,Элементарная геометрия,http://e-maxx.ru/algo/euler_path,,,,,,,,,,15,12,33,geom,,
34,Векторы и декартовы координаты,http://informatics.mccme.ru/py-source/source/dir/240-406,Элементарная геометрия,,,,,,,,,,,15,13,34,geom,,
35,Теория расписаний,http://informatics.mccme.ru/py-source/source/dir/240-18213,,,,,,,,,,,,15,14,35,dp,,
36,Задача о рюкзаке,http://informatics.mccme.ru/py-source/source/dir/240-413,,,,,http://foxford.ru/wiki/informatika/algoritm-ukladki-ryukzaka,,http://foxford.ru/wiki/informatika/algoritm-ukladki-ryukzaka,,,,,15,15,36,dp,,
37,ДП с двумя параметрами,http://informatics.mccme.ru/py-source/source/dir/240-401,,http://e-maxx.ru/algo/longest_increasing_subseq_log,Наибольшая возрастающая последовательность,,http://foxford.ru/wiki/informatika/naibolshaya-obschaya-podposledovatelnost,Наибольшая общая подпоследовательность,http://foxford.ru/wiki/informatika/naibolshaya-obschaya-podposledovatelnost,Наибольшая общая подпоследовательность,,http://sis.khashaev.ru/2013/august/c-prime/0BtGJkm84Ow/,Наибольшая общая подпоследовательность,15,16,37,dp,http://habrahabr.ru/post/191498/,Динамическое программирование
